abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.46,0.45800000000000002,0.45600000000000002,0.32500000000000001,0.32600000000000001,0.32400000000000001,0.17499999999999999,0.17599999999999999,0.17799999999999999,0.151,0.151,0.153
B,0.14299999999999999,0.14000000000000001,0.14199999999999999,0.26600000000000001,0.26300000000000001,0.26800000000000002,0.17799999999999999,0.18,0.18099999999999999,0.11,0.109,0.111
C,0.23599999999999999,0.24399999999999999,0.24199999999999999,0.26200000000000001,0.26300000000000001,0.26300000000000001,0.18099999999999999,0.183,0.182,0.153,0.154,0.155
D,0.33500000000000002,0.33800000000000002,0.34,0.28899999999999998,0.28699999999999998,0.28999999999999998,0.157,0.156,0.156,9.8000000000000004E-2,9.9000000000000005E-2,9.7000000000000003E-2
E,0.436,0.44,0.439,0.26300000000000001,0.26200000000000001,0.26200000000000001,0.13300000000000001,0.13200000000000001,0.13200000000000001,0.27100000000000002,0.27200000000000002,0.27900000000000003
F,3.3000000000000002E-2,3.5999999999999997E-2,3.5000000000000003E-2,0.316,0.315,0.316,0.16600000000000001,0.17199999999999999,0.16900000000000001,0.27400000000000002,0.27600000000000002,0.27800000000000002
G,0.26100000000000001,0.26,0.26200000000000001,0.28299999999999997,0.28699999999999998,0.28699999999999998,0.11700000000000001,0.11700000000000001,0.11799999999999999,0.26800000000000002,0.26500000000000001,0.26800000000000002
H,0.27700000000000002,0.27900000000000003,0.28299999999999997,0.25800000000000001,0.26,0.25700000000000001,0.153,0.152,0.152,4.8000000000000001E-2,4.8000000000000001E-2,0.05
,,,,,,,,,,,,
id,1,2,3,4,5,6,7,8,9,10,11,12
A,rgt_blank,rgt_blank,rgt_blank,415,415,415,423,423,423,431,431,431
B,0.005_M_std,0.005_M_std,0.005_M_std,416,416,416,424,424,424,432,432,432
C,0.01_M_std,0.01_M_std,0.01_M_std,417,417,417,425,425,425,433,433,433
D,0.015_M_std,0.015_M_std,0.015_M_std,418,418,418,426,426,426,434,434,434
E,0.02_M_std,0.02_M_std,0.02_M_std,419,419,419,427,427,427,435,435,435
F,ddi_blank,ddi_blank,ddi_blank,420,420,420,428,428,428,436,436,436
G,soil_std,soil_std,soil_std,421,421,421,429,429,429,437,437,437
H,414,414,414,422,422,422,430,430,430,,,
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
